feature,importance
hl_spread,0.09110470738118608
volume_MA_20,0.0807043365952653
volume_ratio,0.06395747218879107
OBV,0.06200911704817987
intraday_momentum,0.06008403216400895
price_volatility,0.05934418999801489
price_acceleration,0.05890863606117761
opening_gap,0.058774153898446244
volume_change_pct,0.05856843729330045
daily_return,0.049346629109260215
momentum_5,0.04809904332468007
volatility_rank,0.047782967834604964
VWAP,0.046842938043143253
PVT,0.0453516133400461
price_vs_20day_high,0.042411038054983585
price_vs_20day_low,0.03791680080021561
EMA_26,0.021897027781152472
MA_5,0.019860992866768314
EMA_12,0.01690464050916245
MA_10,0.01050370821889145
MA_20,0.009860758556135588
MA_50,0.009766758932585475
ATR,0.0
BB_Middle,0.0
BB_Lower,0.0
MACD_Histogram,0.0
MACD_Signal,0.0
RSI,0.0
ROC_10,0.0
BB_Upper,0.0
BB_Percent,0.0
BB_Width,0.0
MACD,0.0
Stoch_K,0.0
Stoch_D,0.0
